Year,Make,Model,Seller,Location,VIN,Mileage,BodyStyle,Engine,Drivetrain,Transmission,ExteriorColor,InteriorColor,TitleStatus,SellerType,Price,Reserve,Horsepower,Torque
1990,Land Rover,Defender,alexo,"Los Angeles, CA 90004",SALLDVAB8FA439151,600,SUV/Crossover,6.9L V8,4WD/AWD,Automatic (4-Speed),Eastnor Green,Gray,Clean (TX),Private Party,"$31,500",Has reserve,87,150
1984,Toyota,Land Cruiser,ATL_JDM,"Cumming, GA 30041",FJ61000747,1,SUV/Crossover,4.2L I6,4WD/AWD,Manual (4-Speed),Red,Black,Registered in GA,Dealer,"$7,777",Has reserve,99,188
1990,Peugeot,205 GTi,AlfaDog2000,"Alpine, NJ 07627",VF320CD6223885978,"32,000",Hatchback,1.9L I4,Front-wheel drive,Manual (5-speed),Alpine White,Quattro,Clean (MT),Private Party,"$17,100",Has reserve,130,118 
1995,Toyota,T100,Dmiguel,"Los Gatos, CA 95030",JT4VD12FXS0014606,"64,500",Truck,3.4L V6,Rear-wheel drive,Automatic (4-Speed),Red,Beige,Clean (CA),Private Party,"$8,000",Has reserve,150,[]
2003,Mazda,Mazdaspeed Protege,young_timer,"Portland, OR 97212",JM1BJ227X30644914,"63,100",Sedan,2.0L Turbocharged Inline-4,Front-wheel drive,Manual (5-Speed),Titanium Gray,Black,Clean (OR),Private Party,"$6,700",Has reserve,170,[]
2003,Mazda,Mazdaspeed Protege,young_timer,"Portland, OR 97212",JM1BJ227X30644914,"63,100",Sedan,2.0L Turbocharged Inline-4,Front-wheel drive,Manual (5-Speed),Titanium Gray,Black,Clean (OR),Private Party,"$6,000",Has reserve,170,[]
1997,Land Rover,Defender,CarfanSB,"Santa Barbara, CA 93110",SALDV3245VA105065,"88,200",SUV/Crossover,4.0L V8,4WD/AWD,Automatic (4-Speed),Alpine White,Gray,Clean (CA),Private Party,"$42,500",Has reserve,182,233 
1994,Toyota,Land Cruiser,3pedal,"Kauffman, PA 17202",FZJ709002473,"193,888",SUV/Crossover,4.5L I6,4WD/AWD,Manual (5-speed),White,Black,Clean (PA),Dealer,"$23,100",No reserve,212,275
1994,Ford,Mustang,69_sportsroof,"Palm Bay, FL 32907",1FALP42D5RF166109,"115,400",Coupe,5.7L V8,Rear-wheel drive,Manual (5-speed),Black,Saddle Leather,Clean (FL),Private Party,"$9,900",Has reserve,215,[]
1987,Porsche,924,pcarfan,"Leeds, AL 35094",WP0AA0921HN451491,"81,900",Coupe,3.0L I4,Rear-wheel drive,Manual (5-speed),Guards Red,Black,Clean (AL),Private Party,"$7,200",No reserve,218.6,['236']
2005,Saab,9-2X,SBS911,"Stockton, NJ 08559",JF4GG226X5G050452,"50,100",Wagon,2.0 Turbo,4WD/AWD,Manual (5-Speed),Midnight Black Metallic,Black/Parchment,Clean (NJ),Private Party,"$15,000",Has reserve,227,[]
2006,Saab,9-2X,mattthemountainman,"Malden, MA 02148",JF4GG72606G051284,"86,240",Hatchback,2.5L Flat-4,4WD/AWD,Manual (5-Speed),Midnight Black Mica,Black and Tan,Clean (MA),Private Party,"$6,300",Has reserve,230,235
2018,Tesla,Model X,notzak,"Boulder, CO 80304",5YJXCDE27JF136085,"26,300",SUV/Crossover,Dual Motor 75D,4WD/AWD,Automatic,Pearl White,Cream,Clean (CO),Private Party,"$59,500",Has reserve,259,243 
2000,BMW,750iL,epiccars,"Edmond, OK 73025",WBAGJ0344YDD73539,"162,993",Sedan,5.4L V12,Rear-wheel drive,Automatic (5-speed),Orinoco Green Metallic,Beige and Green,Clean (OK),Private Party,"$6,600",Has reserve,326,361
2005,Audi,S4,cmcgettrick,"Charleston, SC 29412",WAUXL68E65A034709,"70,500",Wagon,4.2L V-8,4WD/AWD,Automatic (6-Speed),Brilliant Black,Gray Leather,Clean (SC),Private Party,"$15,000",Has reserve,340,302
2016,Toyota,Land Cruiser,carl,"Peoria, IL 61615",JTMCY7AJ0G4045318,"42,885",SUV/Crossover,5.7L V8,4WD/AWD,Automatic (8-Speed),Midnight Black,Black,Clean,Private Party,"$47,500",Has reserve,381,401
2013,Tesla,Model S,williamick,"Germantown, MD 20874",5YJSA1DP9DFP04112,"70,200",Hatchback,Single Motor P85,Rear-wheel drive,Automatic,Pearl White,Tan,Clean (MD),Private Party,"$32,777",No reserve,416,['443']
2013,BMW,M5,DLN84,"Woodside, CA 94061",WBSFV9C57DC773830,"54,500",Sedan,4.4L Turbocharged V8,Rear-wheel drive,Manual (6-speed),Amazonite Silver Metallic,Black,Clean (CA),Private Party,"$39,200",No reserve,560,500
1998,Jeep,Wrangler,johnnyjupiter,"Jupiter, FL 33458",FLA106566,1,SUV/Crossover,5.7L V8,4WD/AWD,Automatic (3-Speed),Black/Red,Black/Red,Clean (FL),Private Party,"$21,000",Has reserve,"[('', '260')]",['350']
2007,Ford,Mustang,Dorf,"Lake County, MT 59860",1ZVHT82H175357676,"22,456",Coupe,4.6L V8,Rear-wheel drive,Manual (5-speed),Black Clearcoat,Black,Clean (MT),Private Party,"$12,250",Has reserve,"[('', '300'), ('', '319')]",480 
1995,Mercedes-Benz,SL500,JMO597,"Pleasant Praire, WI 53158",WDBFA67E8SF115696,"81,550",Convertible,5.0L V8,Rear-wheel drive,Automatic (4-Speed),Polar White,Alpaca Gray,Clean,Private Party,"$8,600",Has reserve,"[('', '315')]",['347']
2009,Bentley,Arnage,JordanKraushar,"Sacramento, CA 95815",SCBLF44J09CX13680,"50,700",Sedan,6.8L Turbocharged V8,Rear-wheel drive,Automatic (6-Speed),Black,Black,Clean (CA),Dealer,"$35,150",Has reserve,"[('', '500')]",['738']
2005,Acura,RSX,lateraljesus,"Lexington, KY 40515",JH4DC53045S011255,"80,500",Hatchback,2.0L I4,Front-wheel drive,Manual (6-speed),Jade Green Metallic,Titanium,Clean (KY),Private Party,"$12,000",No reserve,"[('10', ''), ('210', '')]",['143']
2012,Porsche,Boxster,pinmaniac,"Jacksonville, FL 32207",WP0CB2A88CS745076,"27,600",Convertible,3.4L Flat-6,Rear-wheel drive,Automatic (7-Speed),Carrara White,Carrera Red,Clean (FL),Dealer,"$55,500",Has reserve,"[('10', ''), ('320', '')]","['7', '273']"
2005,Maserati,GranSport,itwontstopsnowin,"Fairview, PA 16415",ZAMEC38A850017966,"61,700",Coupe,4.2L V8,Rear-wheel drive,Automatic (6-Speed),Grigio Touring,Grigio,Clean (PA),Dealer,"$18,000",No reserve,"[('10', ''), ('395', '')]",['333']
2000,Volkswagen,Beetle,M_Snider,"Cambridge ON, Canada",3VWCF21C3YM461540,"114,600",Hatchback,1.9L Turbodiesel I4,4WD/AWD,Manual (6-Speed),Silver,Black,Clean (ON),Private Party,"$5,500",Has reserve,"[('100', ''), ('200', '')]",['177']
1984,Volkswagen,Rabbit GTI,AMG270,"Frederick, MD 21701",1VWDC0173EV018519,"93,400",Hatchback,1.8L I4,Front-wheel drive,Manual (5-Speed),Diamond Silver Metallic,Blue,Salvage (MD),Private Party,"$8,000",No reserve,"[('100', '')]",105 
1988,Chrysler,LeBaron,Producerjohn,"Las Vegas, NV 89101",1C3BJ45K7JG381799,"53,000",Convertible,2.5L I4,Front-wheel drive,Manual (5-speed),Bright White,Navy,Clean (WA),Private Party,"$5,666",Has reserve,"[('100', '')]",['136']
1989,Honda,Accord,sellmeanother1975,"Grand Rapids, MI 49301",JHMCA5629KC089857,"67,400",Sedan,2.0L I4,Front-wheel drive,Automatic (4-speed),Laurel Blue Metallic,Blue,Clean (MI),Dealer,"$5,400",No reserve,"[('100', '')]",['109']
1983,Mazda,RX-7,untitled_automotives,"Gilbert, AZ 85234",JM1FB3311D0745517,"156,300",Coupe,1.1L Rotary,Rear-wheel drive,Manual (5-speed),White and Red,Black and Burgundy,Odometer Discrepancy (AZ),Private Party,"$3,200",Has reserve,"[('100', '')]",['105']
1986,Dodge,600,grandprix231,"Hampton Township, PA 15101",1B3BV51K2GG236868,"88,800",Coupe,2.5L I4,Front-wheel drive,Automatic (3-speed),Beige,Tan,Clean (PA),Private Party,"$1,800",No reserve,"[('100', '')]",['136']
1982,BMW,320i,BavTek,"Moreno Valley, CA 92557",WBAAG3302C8376361,"184,300",Sedan,1.8L I4,Rear-wheel drive,Manual (5-speed),Silver,Black,Clean (CA),Private Party,"$6,700",Has reserve,"[('101', '')]",['100']
1994,Honda,Civic,fusionrace,"Woburn, MA 01801",2HGEH2361RH528148,"50,600",Hatchback,1.5L I4,Front-wheel drive,Manual (5-Speed),Aztec Green,Gray,Clean (MA),Private Party,"$6,969",No reserve,"[('102', '')]",['98']
1986,Audi,4000,80sAudi,"Manistee, MI 49660",WAUFB0811GA088351,"175,000",Sedan,1.7L I4,Front-wheel drive,Manual (5-speed),Silver,Blue,Clean (MI),Private Party,"$2,750",No reserve,"[('102', '')]",['126']
1999,Hummer,H1,acecustoms,"Pontotoc, MS 38863",137ZA9037XE184825,1,SUV/Crossover,3.9L I4,4WD/AWD,Automatic (4-Speed),Gray,Gray,Clean (TN),Private Party,"$39,500",Has reserve,"[('105', ''), ('190', '')]","['265', '450']"
1990,Honda,Civic,90EFSi,"Port Moody, BC, Canada",2HGED7466LH019929,"146,900",Hatchback,1.6L I4,Front-wheel drive,Automatic (4-speed),Rio Red,Black,Clean (British Columbia),Private Party,"$2,691",No reserve,"[('108', '')]",['100']
1986,Audi,Coupe,castle,"Cincinnati, OH 45230",WAUBD0850GA152844,"114,500",Coupe,2.2L I5,Front-wheel drive,Manual (5-Speed),Graphite Metallic,Red,Clean (OH),Private Party,"$8,010",Has reserve,"[('110', '')]",['122']
1987,Honda,Prelude,Legacyclassictrucks,"Driggs, ID 83422",JHMBA3142HC015116,"138,100",Coupe,2.0L I4,Front-wheel drive,Manual (5-Speed),Montreal Blue Metallic,Blue,Clean (ID),Dealer,"$6,401",Has reserve,"[('110', '')]",['114']
1985,Saab,900,ThePhotographersGarage,"Martinez, CA 94553",YS3AH25J9F7008245,"132,400",Coupe,2.0L I4,Front-wheel drive,Manual (5-speed),Rose Quartz Metallic,Bokhara Red,Clean (CA),Private Party,"$5,525",No reserve,"[('110', '')]",['119']
1984,Chevrolet,S10,CustomautosalesBlm,"Bloomington, IL 61701",1GCCS14B4E0100876,"45,700",Truck,2.8L V6,Rear-wheel drive,Automatic (4-Speed),Silver,Gray,Clean (IL),Dealer,"$4,800",No reserve,"[('110', '')]",['128']
1990,Jeep,Wrangler,EbaziAuto,"Allenhurst, NJ 07711",2J4FY39T0LJ505556,"151,200",SUV/Crossover,4.2L I6,4WD/AWD,Manual (5-Speed),Malibu Yellow,Gray,Clean (NJ),Private Party,"$7,100",No reserve,"[('112', '')]",['210']
